-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(1024)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      19.150ms       113.97%      19.150ms      19.150ms             1  
## Call CompiledFxGraph fzd2nkbcahvy6drg6rzhdatien2j...         0.00%       0.000us         0.00%       0.000us       0.000us      15.669ms        93.25%      15.669ms       1.045ms            15  
                                      vllm::moe_forward        20.87%       4.703ms        30.66%       6.911ms     431.952us      13.211ms        78.62%      13.300ms     831.263us            16  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us       8.420ms        50.11%       8.420ms     526.247us            16  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us       4.115ms        24.49%       4.115ms     257.191us            16  
                                               aten::mm         4.58%       1.033ms         6.70%       1.511ms      30.834us       2.431ms        14.47%       2.431ms      49.610us            49  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         9.86%       1.656ms     103.526us            16  
## Call CompiledFxGraph fdphksib7esaknkla2ajdg5c5k4u...         0.00%       0.000us         0.00%       0.000us       0.000us     875.298us         5.21%     875.298us     875.298us             1  
                                _vllm_fa2_C::varlen_fwd         0.95%     215.205us         1.95%     439.700us      27.481us     621.537us         3.70%     621.537us      38.846us            16  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     621.537us         3.70%     621.537us      38.846us            16  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     534.974us         3.18%     534.974us      33.436us            16  
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us     298.048us         1.77%     298.048us      18.628us            16  
void tensorrt_llm::kernels::cutlass_kernels::expandI...         0.00%       0.000us         0.00%       0.000us       0.000us     295.936us         1.76%     295.936us      18.496us            16  
## Call CompiledFxGraph frlt243nfc347xhcju737kfkkatk...         0.00%       0.000us         0.00%       0.000us       0.000us     181.248us         1.08%     181.248us     181.248us             1  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     139.360us         0.83%     139.360us     139.360us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_1         1.12%     251.367us         1.44%     325.124us      20.320us      96.509us         0.57%      96.509us       6.032us            16  
