-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     303.696ms       106.46%     303.696ms       2.391ms           127  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us      94.968ms        33.29%      94.968ms      46.371us          2048  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      51.196ms        17.95%      51.196ms      24.998us          2048  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      38.921ms        13.64%      38.921ms      19.004us          2048  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      22.685ms         7.95%      22.685ms       5.538us          4096  
                                               aten::mm         1.14%       4.092ms         1.42%       5.113ms      39.942us      17.727ms         6.21%      17.727ms     138.491us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.727ms         6.21%      17.727ms     138.491us           128  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      12.315ms         4.32%      12.315ms       6.013us          2048  
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us       8.067ms         2.83%       8.067ms       3.939us          2048  
void vllm::moe::topkGating<8, 64, 4, 16, 32, int, __...         0.00%       0.000us         0.00%       0.000us       0.000us       6.298ms         2.21%       6.298ms       3.075us          2048  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us       3.818ms         1.34%       3.818ms       1.864us          2048  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.774ms         1.32%       3.774ms       1.843us          2048  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.513ms         1.23%       3.513ms       1.715us          2048  
                   execute_context_1(1)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       3.513ms         1.23%       3.513ms       3.513ms             1  
void tensorrt_llm::kernels::cutlass_kernels::expandI...         0.00%       0.000us         0.00%       0.000us       0.000us       3.487ms         1.22%       3.487ms       1.702us          2048  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       3.191ms         1.12%       3.191ms       1.558us          2048  
