-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(1024)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      23.130ms       239.33%      23.130ms      23.130ms             1  
## Call CompiledFxGraph frqjixysxfnhdr4gmlrarrkp7y36...         0.00%       0.000us         0.00%       0.000us       0.000us      16.613ms       171.89%      16.613ms       1.108ms            15  
                                      vllm::moe_forward        28.93%       7.886ms        42.23%      11.511ms     719.408us       5.917ms        61.22%       7.108ms     444.265us            16  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.917ms        61.22%       5.917ms     184.908us            32  
                                  _C::cutlass_scaled_mm         2.42%     660.974us         4.24%       1.156ms      36.114us       1.178ms        12.19%       1.178ms      36.805us            32  
_ZN7cutlass13device_kernelI17enable_sm120_onlyINS_4g...         0.00%       0.000us         0.00%       0.000us       0.000us       1.178ms        12.19%       1.178ms      36.805us            32  
## Call CompiledFxGraph fls3447uvuw5pcrciceyuk3tmc3m...         0.00%       0.000us         0.00%       0.000us       0.000us     934.274us         9.67%     934.274us     934.274us             1  
                                _vllm_fa2_C::varlen_fwd         0.78%     211.661us         1.64%     445.973us      27.873us     620.002us         6.42%     620.002us      38.750us            16  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     620.002us         6.42%     620.002us      38.750us            16  
                           _C::dynamic_scaled_fp8_quant         0.57%     155.155us         2.47%     673.661us      21.052us     443.810us         4.59%     443.810us      13.869us            32  
                                       _C::silu_and_mul         0.27%      72.291us         0.63%     172.187us      10.762us     293.343us         3.04%     293.343us      18.334us            16  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     293.343us         3.04%     293.343us      18.334us            16  
void vllm::segmented_max_reduction_strided<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us     286.785us         2.97%     286.785us       8.962us            32  
                                              aten::sum         1.09%     297.015us         1.53%     417.168us      26.073us     233.856us         2.42%     233.856us      14.616us            16  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     233.856us         2.42%     233.856us      14.616us            16  
                                               aten::mm         2.36%     643.926us         3.07%     836.622us      49.213us     225.281us         2.33%     225.281us      13.252us            17  
## Call CompiledFxGraph f5zghgxe6fqjekq22675wzkrvncg...         0.00%       0.000us         0.00%       0.000us       0.000us     159.680us         1.65%     159.680us     159.680us             1  
