-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     274.057ms       128.31%     274.057ms       2.158ms           127  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      76.996ms        36.05%      76.996ms      18.798us          4096  
_ZN7cutlass13device_kernelI17enable_sm120_onlyINS_4g...         0.00%       0.000us         0.00%       0.000us       0.000us      37.121ms        17.38%      37.121ms       9.063us          4096  
                                               aten::mm         1.70%       4.044ms         2.09%       4.978ms      38.888us      17.751ms         8.31%      17.751ms     138.681us           128  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.751ms         8.31%      17.751ms     138.681us           128  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      11.748ms         5.50%      11.748ms       5.736us          2048  
void vllm::segmented_max_reduction_strided<c10::BFlo...         0.00%       0.000us         0.00%       0.000us       0.000us       9.364ms         4.38%       9.364ms       2.286us          4096  
void vllm::moe::topkGating<8, 64, 4, 16, 32, int, __...         0.00%       0.000us         0.00%       0.000us       0.000us       6.603ms         3.09%       6.603ms       3.224us          2048  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.283ms         2.94%       6.283ms       3.068us          2048  
triton_red_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us       5.479ms         2.57%       5.479ms       2.854us          1920  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       5.276ms         2.47%       5.276ms       2.576us          2048  
void vllm::scaled_fp8_quant_kernel_strided_dynamic<c...         0.00%       0.000us         0.00%       0.000us       0.000us       5.148ms         2.41%       5.148ms       1.257us          4096  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.579ms         1.68%       3.579ms       1.747us          2048  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_1         0.00%       0.000us         0.00%       0.000us       0.000us       3.201ms         1.50%       3.201ms       1.563us          2048  
                   execute_context_1(1)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       2.967ms         1.39%       2.967ms       2.967ms             1  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       2.924ms         1.37%       2.924ms       1.428us          2048  
